,Notes,title,reviews
13,1.0,What a shower,What a shower! We booked to fly and return to Canada over 12 months ago. Despite requests we were not seated together on check in on both flights and 1 internal flight. Automated check in baggage drop was difficult as  many kiosks did not work. At Toronto we tried 5 kiosks until the 6th worked. Boarding at Vancouver was difficult as the staff erected zone lanes but to space to queue - one large scrum . CA wont be my first choise again.
14,1.0,Extremely disappointing service from Air Canada,"1. Lost baggage x 22. Narrow / uncomfortable seats3. Rushed breakfast service, food literally thrown at us4. Ground staff that lied to our faces regarding lost luggage5. Contact options regarding lost baggage were useless as no one picked up the call. I guess I don’t need to say much more than the above for future readers of this review to know that I was not impressed with the service offered by Air Canada. I will go out of my way to not use this company in the future."
15,1.0,Great Service - Needs UK Support and More,"I have to say the service onboard my first Air Canada flight (EDI-YYZ - 1st October 2023) was rather pleasant, the onboard crew were super friendly and efficient with everything but their flight management team (landslide crew) were HORRENDOUS as they had us stand in a queue for 1 hour at the gate claiming it would only be a few minutes to board the flight, and we left late due to this and the failure to check the aircraft at the stand.The other thing I wasn't happy with was the lack of UK contact options and offers, everything was Canada Based which for those outside Canada it would cost a lot to call. The AeroPlan offers for members outside of the UK are zero.I've had to change my return flight to this coming Friday (13th October) and I am hoping there to be no issues as experienced in Edinburgh and for the check in crew to be on time..."
17,1.0,Delayed for hours at the airport,"Delayed for hours at the airport , no drinks and food provided . Absolutely no UK telephone number to contact them , after constant emails was told the delay was a safety issue . Terrible customer service , will never travel with them again ."
18,1.0,I came back from India with Qatar…,I came back from India with Qatar Airines during covid overnighted in Montreal on my way to Calgary Air Canada would not pay for the Hotel! The next day I caught my flight to Canada! I'm 69 and was quite unwell having a stroke in india two weeks before as well I had been quite ill with intestinal parasites and was in a weaked condition and I made the flight attendants aware of it! I had to take my bag down from the overhead and my mask came down under my nose and a couple of flight attendants rushed down the alsie not to help me but to scold me for not having the mask over my nose we had an exchange of words whereas the senor flight attendant theartened to have the turned around back to Montreal and have me arrested! This was said very loudly so the whole plane could hear! They also bullied passengers by telling them they must when eating pull their mask up while chewing their food! In the galley they were sitting laughing about this while eating and drinking without masks! Totally nasty peaple!
19,1.0,Poorly trained and inappropriate staff on Air Canada,"When my husband and I had a problem on a flight it was handled very poorly. Their stewardess and steward were very inappropriate and rude. They sneared. They actually exacerbated the situation and did nothing when 2 passengers in front of us, afterwards, started loudly bouncing and banging on their seats. We said nothing,  but have never and will never fly with Air Canada again.  That was in 2020. Never again!!!"
0,0.0,Terrible experience with the maple…,"Terrible experience with the maple lounge who refused to allow access by Lana (last name unknown). Complained to Air Canada and received a response from Ragavi Brown who was also unrepentant for the delay and incompetence I have suffered from Air Canada not re booking me properly when they cancelled an earlier flight. Ragavi has offered me a discount which I'm never going to use as Im never flying with Air Canada again, here is the code if its of use to you. DNY4CU41"
1,1.0,Delayed by 12hours on flight into…,"Delayed by 12hours on flight into Toronto from Heathrow, ground staff helpful and apologetic at Heathrow. Eventually received compensation for this delay. Our internal flight between Toronto and Vancouver was cancelled altogether, we were informed by email that we may get a flight in two days by which time our holiday would have been ruined. The ground staff in Toronto were very unhelpful and in some cases quite rude. No hotel or food offered. Our agent eventually got us seats on a flight much later that day.On our internal flight and the flight home we were not seated together. This was our forth attempt at this holiday due to covid and ill heath, completely blighted by our experience with Air Canada. I will never travel Air Canada again."
2,1.0,Air Canada Hates Handicapped Passengers,"Summary: A Third-World Airline run by a bunch of people who operate with impunity.Here are the details.  In September, my handicapped partner traveled to from the US to YUL on Air Canada.  At YUL she was taken off the plane in a wheelchair and then abandoned at the top of the jet-way.  Eventually, she had to walk about 1 km to customs.  The customs agent was so horrified that he escorted her to curbside to ground transportation.We filed a complaint about prejudice against handicapped passengers with the Canadian Transportation Authority (filing 23-47443). Of course they have not done anything either.  All of these people need to be 'named and shamed' because otherwise they will do nothing.  ""We don't care because we don't have to,"" seems to be the prevailing attitude."
3,1.0,Worst airline imaginable,Connecting flight delayed 24 hours. Stuck in foreign city with no hotel or anything then after months of trying to get any compensation whatsoever they reject it and give me nothing. Genuinely evil airline. Avoid if at all possible honestly.
4,1.0,Never Again,"When you think of a destination wedding in tandem with hiring a travel agent, you think booking a one-week getaway for 60 people would be pretty easy, right? Not with Air Canada Vacations.Not only did they consistently ignore our requests, they left them for so long the options we wanted were sold out. I’m talking 3 months. Any adjustments we requested had an average turnaround time of 3 months. 3 months to select a seat or change a room. Yikes. No direct flights (apparently) so you’re doing red eyes to a connecting morning flight meaning 8 hours on a plane - to get to Cancun from Canada. You also are not allowed to upgrade your seats when booking this trip through the travel agent-ACV so that would have been nice to know ahead of time. You’d think if we’re offering you more money, you’d jump at it. Nope, turned us down and didn’t care to try. Then they cancel one of the 3 flights that was bringing some of the wedding guests down, meaning 20 people now have to spend what was supposed to be their first night on a hot getaway, at an airport hotel with only $40 vouchers for food at the AIRPORT. Then you get on the airplane, where the stewardesses come around to offer juice or drinks at an extra expense (obviously never a problem paying for this), yet won’t even put a pot of coffee on for the economy class. Instead the three stewardesses sit at the back of the plane on their phones in vacant customer seats, while the one in business class collects garbage and handles, well, business class. I’d also like to note that the ONE time the economy stewardesses came around, they rammed the cart into this poor gentleman’s leg and then BLAMED HIM for having it too far into the aisle. How about you offer some customer service, look where you’re going and ask him to move his leg instead of running into him?Then you arrive at the airport in Mexico looking for the transportation that was arranged for your group, and not only can you not locate them, but once you do (20 minutes later) they then tell you they may not be able to fit you all. After deciding they can, they let you sit on the bus for over an hour after guilt tripping you about wanting to purchase yourself a beer…because “they have some for you on the bus”. Well I could have had 3 in the time it took us to get going. Ok, so now we’re done with the arrival and they drop us off at the hotel. Great! And then fast-forward to a week later when the shuttle is to pick you up to return to the airport - no big deal it was only 35 minutes late. At least the one good thing I can say is the host and driver of this shuttle were wonderful to deal with. Finally a positive. The return flights home were a tad better, with the one from Cancun to Toronto having the best service stewardess-wise. This was the only flight of four that I actually felt they cared to give some customer service. All in all, Air Canada Vacations is the worst airline I have ever used, and I will never book with them in the future, nor will many of my family or friends. This was the most horrendous organization & execution of a trip I’ve ever seen.WestJet flyer for life, especially now."
5,1.0,Air canada is the worse airline in…,"Air canada is the worse airline in history with no empathy at all. I am an international student here in Fredericton and after paying an extra luggage fee on my bag, air canada has still not found my bag or refunded my immediate expenses. It has been 48 days and no words from them . I keep calling and hearing the same thing. I would like help. Please anyone with information on who to contact ?"
6,1.0,My experience with Air Canada was…,"My experience with Air Canada was nothing short of a complete disaster. I wouldn't wish this airline on my worst enemy. To start, our departure was delayed by a mind-boggling two hours, and the reason? Apparently, the gate wasn't even available. So there we sat, like cattle, twiddling our thumbs, and wondering if this was some kind of cruel joke.But oh, the delays didn't stop there. No, they continued throughout the flight. It was as if Air Canada had a personal vendetta against punctuality. The flight attendants must have thought they were on vacation too, as they seemed more interested in chatting amongst themselves than addressing the frustrated passengers.I'd like to say that the in-flight experience made up for it, but that would be a lie. The seats were about as comfortable as a park bench, and the in-flight entertainment was laughable at best. It's safe to say that my next flight won't be booked with Air Canada. If you value your time and sanity, steer clear of this airline."
7,1.0,I had a check in problem in Dublin…,I had a check in problem in Dublin Airport. The AC agent  took personal responsibility for the problem and had it resolved after working on it for an hour with AC help desk.  In 4 decades of travel I have not experienced a higher level of customers care.
9,2.0,They lost my bag even though I was at…,"They lost my bag even though I was at the airport checking in 3 hours before the flight (and i checked in at the business class ""priority"" area at Toronto Pearson airport - business class experience... Not so much). And the flight was 1 hour late...."
10,1.0,"Never fly AirCanada, no matter the price","My dad booked a flight with them, where the system literally fused together his first and last name such that airport authorities denied him to fly. They couldn't fix their issue and gave him a miserable reimbursement although he lost 3000+ dollars because of the other connections and the new flight he had to book. Never fly AirCanada, their mistakes can ruin your holidays."
11,1.0,Delayed by 38 hours from Manchester to…,Delayed by 38 hours from Manchester to Toronto.Poor communication and lack information. Difficult to contact. Changed pre-paid for seats on both journeys. Ground staff at Toronto airport were rude and unhelpful.Never travel with Air Canada again.
12,1.0,Hopeless,"Hopeless. Were flying Sydney to Vancouver business class 27th April 2023 and the incoming aircraft got grounded due to bird strike. Flight delayed two days. We got given accommodation and cheap meals in a low class hotel (Ibis) near Sydney Airport for two nights. Our travel agent failed to cancel our prepaid accommodation in Vancouver. We have been trying to claim that cost on travel insurance, but Air Canada refuses to answer our emails to Customer Service asking for the necessary documentation proving flight cancellation (APT, the travel agent, have also been hopeless, referring us to the ""fine print"" in their conditions). I have tried calling Air Canada (from Australia) with no result. Numerous emails not answered. Never again. An airline with regular flights to Australia would have had replacement aircraft available much sooner."
13,1.0,What a shower,What a shower! We booked to fly and return to Canada over 12 months ago. Despite requests we were not seated together on check in on both flights and 1 internal flight. Automated check in baggage drop was difficult as  many kiosks did not work. At Toronto we tried 5 kiosks until the 6th worked. Boarding at Vancouver was difficult as the staff erected zone lanes but to space to queue - one large scrum . CA wont be my first choise again.
14,1.0,Extremely disappointing service from Air Canada,"1. Lost baggage x 22. Narrow / uncomfortable seats3. Rushed breakfast service, food literally thrown at us4. Ground staff that lied to our faces regarding lost luggage5. Contact options regarding lost baggage were useless as no one picked up the call. I guess I don’t need to say much more than the above for future readers of this review to know that I was not impressed with the service offered by Air Canada. I will go out of my way to not use this company in the future."
15,1.0,Great Service - Needs UK Support and More,"I have to say the service onboard my first Air Canada flight (EDI-YYZ - 1st October 2023) was rather pleasant, the onboard crew were super friendly and efficient with everything but their flight management team (landslide crew) were HORRENDOUS as they had us stand in a queue for 1 hour at the gate claiming it would only be a few minutes to board the flight, and we left late due to this and the failure to check the aircraft at the stand.The other thing I wasn't happy with was the lack of UK contact options and offers, everything was Canada Based which for those outside Canada it would cost a lot to call. The AeroPlan offers for members outside of the UK are zero.I've had to change my return flight to this coming Friday (13th October) and I am hoping there to be no issues as experienced in Edinburgh and for the check in crew to be on time..."
17,1.0,Delayed for hours at the airport,"Delayed for hours at the airport , no drinks and food provided . Absolutely no UK telephone number to contact them , after constant emails was told the delay was a safety issue . Terrible customer service , will never travel with them again ."
18,1.0,I came back from India with Qatar…,I came back from India with Qatar Airines during covid overnighted in Montreal on my way to Calgary Air Canada would not pay for the Hotel! The next day I caught my flight to Canada! I'm 69 and was quite unwell having a stroke in india two weeks before as well I had been quite ill with intestinal parasites and was in a weaked condition and I made the flight attendants aware of it! I had to take my bag down from the overhead and my mask came down under my nose and a couple of flight attendants rushed down the alsie not to help me but to scold me for not having the mask over my nose we had an exchange of words whereas the senor flight attendant theartened to have the turned around back to Montreal and have me arrested! This was said very loudly so the whole plane could hear! They also bullied passengers by telling them they must when eating pull their mask up while chewing their food! In the galley they were sitting laughing about this while eating and drinking without masks! Totally nasty peaple!
19,1.0,Poorly trained and inappropriate staff on Air Canada,"When my husband and I had a problem on a flight it was handled very poorly. Their stewardess and steward were very inappropriate and rude. They sneared. They actually exacerbated the situation and did nothing when 2 passengers in front of us, afterwards, started loudly bouncing and banging on their seats. We said nothing,  but have never and will never fly with Air Canada again.  That was in 2020. Never again!!!"
0,0.0,Without doubt the worst customer…,"Without doubt the worst customer service I have ever received. From cancelling booking twice, the second time enroute to the airport !! To over booking flights. Non existent support. Impossible to contact from the UK. Non response to attempts to resolve. AVOID AVOID AVOID"
1,1.0,AVOID AVOID AVOID,AVOID AVOID AVOIDAir Canada have to be the worst company I have had the misfortune to interact with in years. Their policy of overbooking flights and cancelling at the last minute is grunt appalling. I had a flight for elderly parents visiting Canada from the UK cancelled twice. Once the week before then the second time when they were on their way for the airport. Zero support provided. Truly horrendous experience and arrogant company. Do not use this company or prepare to be treated way worse than you can begin to imagine. Deserve zero stars.
2,1.0,Air Canada flights  worest carrier,"We had Air Canada flights via an agent to London to Calgary, Vancouver to Toronto and back to UK, to say this was stressful with this lot is an underestimate.  Booking seats together was the biggest problem.   We struggled and we told they will do this at the gate, just before you board. Yes, we were given seats but split up, my wife being 10 or more rows behind me, told them I had a heart condition and I more comfortable if she was close to me. Nobody cared, they just passed us on and said best ask the passengers when in the plane, if they will move. they just don’t care! Also, two out to the three flights were delayed, we sat on the tarmac on Toronto for an hour before the plane docked to allow us off. And coming back to London the flight was delayed by 6 hours. They offered us a 15 Dollar voucher as compensation. I will never fly this carrier again."
3,1.0,Outstanding ! We traveled on Air Canada flights back…,We traveled on Air Canada flights back and forth to Portugal thru toronto.The flights and service were among the best we ever had in our 60 years of flying.Outstanding is all we can say.
5,2.0,NOT recommend!,"Like the rest of the reviews. NOT recommend fly company to use. First fly cancelled. Then rebooked to another fly, which were delayed, so we missed our connecting fly. Rebooked to another flight the next day, which we declined. So the rebooked us to a different airplane company. Bad information all the way. We paid for extra legspace, and for the first bagage x2. They messed that up also, and wanted to charge us again for the bagage. Want to give minus 5 stars, if that was possible."
6,1.0,Air Canada! Never Again!,"Never again will we fly Air Canada! We booked, confirmed & our seats were allocated in advance. Yet Air Canada would not let us on the flight. Claiming some nonsense about possible “credit card fraud”. Which is rubbish because our payment was DEBIT CC and we knew funds had gone thru weeks previously.  “If” that had been the case they did not even bother to call or let us know.They refused to let us board, charged a “cancellation fee” and said we could re book for tomorrow but it would be much more expensive! Air Canada check in desk said “we should apply for a refund” which proves tickets were definitely paid for - we also had evidence.They gave our seats to “standby” passengers.What a Scam Air Canada! Ashamed and Embarrassed this is our Canadian flagship!"
7,1.0,0/10,"I am sad that I cannot give 0. 1 star shouldn't be the lowest rate, and Air Canada does not deserve a single star.I think the best word to describe this airline is ""incompetency"".I didn't know anything about this airline before actually coming to visit Montreal. After hours of delays, lost baggages, no real explanations, now I can say it safely: do not use this airline if you have other options. If you want to throw your money away there are easier ways to do it."
8,1.0,Do not book with this airline whatever you do,Do not book with this airline! Cancelled our flight london to Toronto with 7 days to go and didn’t rebook us onto a new flight. Thousands of hard earned and saved pounds gone into this trip only to have to frantically book a new flight one week before and of course we could no longer afford to go direct. Chasing for compensation currently. This is all made worse by the fact their customer service team is unreachable. Avoid air Canada like the plague worst experience I’ve ever had with an airline!
9,1.0,Senile Paula at Boston,"Paula who works for Air Canada in Boston is the rudest and most unprofessional person I have ever had the misfortune of meeting. She couldn’t work her computer system, was extremely rude to us and her colleagues. At one point she got herself so flustered she told me to move away from the desk or she would get the police! I head my three year old son on my shoulders at the time. The whole time she was verbally aggressive and even when we chose to go to a difference server she continued mouthing off across the checkin desks."
10,1.0,"A Culinary Journey at 35,000 Feet with Air Canada!","My voyage with Air Canada was nothing short of a luxurious experience. I had the privilege of flying business class, and I must say, the standards of comfort and hospitality were impeccable.The stars of the journey were undoubtedly the gourmet meals served on board. The menu boasted a variety of exquisite dishes, each prepared to perfection, catering to a palette of international tastes. The quality and presentation of the food were on par with fine dining restaurants, making each meal an event to look forward to.The service provided by the flight attendants was exemplary. Their attention to detail, professionalism, and genuine care enriched the dining experience manifold. They were attentive without being intrusive, ensuring that all my needs were met promptly and with a smile.The comfortable seating and spacious business class cabin allowed for a relaxed and enjoyable flight experience. The seats reclined to a fully flat position, making it easy to rest between the gourmet meals.Air Canada's commitment to delivering a top-notch flying experience was evident in every aspect of the journey. The seamless blend of fine dining and exceptional service at cruising altitude set a new benchmark for what one can expect in business class air travel.I wholeheartedly recommend Air Canada for anyone seeking a premium flying experience. The remarkable food and superior service in their business class are well worth the investment"
12,1.0,Terrible company,"Terrible company. Do not let you amend flight details at all. Wanted to change flight details 2 weeks before, even offered to cancel the first part of my trip but if I did that they would automatically cancel the second leg… Only way to change things are, “Imminent death”."
13,1.0,“Toll free” number is actually an international call from a mobile,"Air Canada has only one option for calling them from the U.K., a “toll-free” number which actually counts as an international call from mobile phones. How many people ring them from landlines???!!! How does the average person in the U.K. contact them without racking up HUGE phone bills?"
14,1.0,"Air Canada, simply the worst!","Air Canada has topped the list of the worst customer service I have ever experienced in the Northern hemisphere. They delayed offloading the entire airplane's luggage by 2 whole hours, were extremely rude when they finally appeared and locked themselves in their office. I missed my connection because of the delays with luggage and they turned around and said it wasn't their problem. Why are these people even in this business?"
15,1.0,A nightmare of an airline,"A nightmare of an airline. I have paid them thousands for a multi city trip. Pay for leg room seats, seats cancelled. Constant itinerary changes. And today, notified that I have been ""re accommodated"" onto a new internal flight from Toronto that takes off an hour before my first flight lands in Canada! No email address, no one answers the phone and they will not allow calls to customer service from a cell phone. In 2023. Avoid this clown show AT ALL COSTS!! Disgusting service!"
16,1.0,Do not use Air Canada !,Do not use Air Canada !! I have been unable to contact them and my booking agent tells me they will only speak to me so they can't add luggage ! Its ridiculous never had this problem with any other airline    I call the free 0800 uk number get through to a Canadian auto response asking for my Aeroplan membership number which I'm not a member of Worst service ever stay away from Air Canada
17,1.0,I’m Flying to Toronto next week and I…,"I’m Flying to Toronto next week and I purposely paid over 170 pounds for a row of 4 seats so my wife and two young children (2 and 3) could all sit next to each other. Today,I received an email saying there was a seat change on my booking and they’ve since moved my 3 year old son to a different row without my consent or approval ( I got an automated email). Needless to say I am appalled and extremely worried by this! I’ll never ever book or fly with them again after this trip and willEnsure to share my experience on other social media platforms! The airline should be ashamed!!"
18,1.0,Air Canada changed my flight times to…,"Air Canada changed my flight times to Canada. Gave me 5 days to contact them if I wanted to make alterations to my schedule but no contact number???. Web chat a useless robot, email pointless (upto 45 days wait time), customer service telephone number 0800 66992222 does not work.Who knows how to actually contact this company ??"
19,1.0,Terrible flight delays and ignoring customer service,"The flight Toronto-Calgary was delayed by over 5.5 hours. I filed the complaint and got a refund granted. That was 3 months ago, and air Canada still hasn’t paid me the refund. Moreover they haven’t responded to any of my multiple emails. I’m turning the case to debt collectors."
0,0.0,Horrible customer service,"Horrible customer service. Air Canada cancelled my flight citing their fraud dept flagging my purchase as potentially fraudulent. Didn't even bother to contact me. And when I called today to ask what happened and explain that the purchase is legit they refused to rebook my flight at the same rate saying I must rebook a new seat at $270 higher fare. Ridiculous. They refused to budge or allow me to elevate my complaint up the chain. No apology, no sympathy, no nothing. Useless! Zero customer service present at Air Canada"
1,1.0,Terrible experience with Air Canada,Terrible experience with Air Canada. Boarding at Heathrow like a rugby scrum following hour delay. SEVEN HOURS DELAY on return flight from Vancouver with no explanation and food voucher only when I insisted. Four different people ( not employed by Air Canada) said Air Canada was an awful company and Canadians avoided travelling with them. Air Canada has now said no compensation is due using reasons they seem to regularly employ to avoid entitled payment. I am appealing but the wait for can be long due to the number of complaints against this company. It was my first visit to Canada and it is a pity that this beautiful country is let down by a company flying the Canadian flag.
2,1.0,Delays and unfriendly crew,"Flew from Heathrow to Vancouver and from Calgary to Heathrow, both flights delayed, on board some of the crew were good at their job and friendly, the ones in our section were not, no smiles or hellos or please/thankyous, obviously in the wrong jobNot sure air Canada would be my 1st choice for future flights"
3,2.0,My worst flight ever,"My worst flight ever. After having 3 hours delay they rebooked me to another longer flight on the last row seat. The cabin crew came and asked me to go and sit on my original seat i said this was my seat, she gave me resting b*tch face and said “interesting” and she goes away. She comes back two minutes later and ask for my boardingpass, i show her the pass and she gave me the same face going away. Due to a medical emergency issue i had to change my seat which i had no problem with it but the way she comes telling me was again very rude. So i tell them and then she keeps ignoring me giving me breakfast or taking the garbage away. This was my last flight ever with Air Canada i rather pay more and fly with Air transat or other companies."
4,1.0,"Air Canada 🇨🇦 from a loyal business client who flew 96,000 miles last year","Air Canada 🇨🇦 I have always supported them and used for my business for years; however, today I received notice that my Premium Economy flight (I had already applied eupgrade to buisness) from Montreal to Malaga via Zurich has been changed to basic economy. How can an airline treat clients like this, they stated; ""We're sorry your itinerary has changed due to unexpected business or operational constraints on our planned flight schedule and we have automatically rebooked you on another flight. ""Thanks AC From a 75k Elite client who flew 96,000 miles last year"
5,1.0,flight cancelled - and rebooked from another airport 400 miles away,"flight cancelled - crew had timed out, apparently(why? there was no delay? weather was perfect?)'automatically' rebooked for the next day (but not notified) and then discovered that they had changed the departure airport from BWI to Charlotte (~400 miles away?!). Wait time for customer service more than 60 minutes. 3 check-in agents unable to help. finally after 8 hours waiting at BWI was able to get on the afternoon flight. what is wrong with this airline?"
6,1.0,Disappointing Service,"On arrival to our destination, our flight was delayed 3 hours. Our return flight from Charlottetown to Toronto was cancelled do to mechanical problems. We were automatically booked onto another flight but that flight was for the following day. We were not able to contact a service agent and had to travel to the airport to make alternate arrangements. This was our first and last time flying Air Canada."
7,1.0,Worst customer service ever,"Worst customer service I have ever experienced - and that's an already low bar. Takes weeks to get a voucher processed, website is badly organised and keeps crashing, and it is literally impossible to speak to an agent on the phone. Ever. The flight itself is okay, but no better than vastly cheaper airlines with better customer service (i.e. any customer service at all)."
8,1.0,Avoid like the plague,"Booked flights early to ensure an stress-free travel experience to a family reunion in Canada at the end of the year, and they just keep cancelling different legs of our flights, except weirdly those flights still exist. My guess is they can make more money by cancelling these legs of our booking and selling to someone else. Now we have to rebook, except they never answer their phones. A combined 4+ hours of waiting on hold in the last two weeks and never getting through despite calling at various times of the day/night. Their hold music is infuriating. I’m a Canadian living overseas and am absolutely ashamed of this company. This is the worst airline I have ever flown/dealt with (travelling globally with a variety of airlines), and sadly has been this way for 30+ years. That the Canadian government continues to support this shoddy company escapes me - they deserve a “zero stars” rating."
9,1.0,Bad business and NO customer service at all!,"Air Canada has delayed 3 of my 4 flights and my last flight home was cancelled leaving me stranded in Toronto with no flight home.  They simply do not care for their customers and do not deserve their business!  I urge everyone to boycott this company, as they have horrible customer service and horrible ratings for bad business and a history of delays and cancellations.  I will NEVER travel with Air Canada again and certainly not travel through Toronto either…their airport is terrible!"
10,1.0,Lost Baggage- Reported this t Heathrow…,"Lost Baggage- Reported this t Heathrow Airport on the same day..obviouslyFlew into Heathrow on the 28 June 2023 and it is the 3rd of July 2023  and I still havent recived my baggage.The absolutelly diabolicle service to try and trace this bag is a mine filed.You cant speak to anyone, only option is to email them and apparently they will be in TOUCH...hahahaStill waiting, Im flying back to Canada on Sat 8th July"
